         24794591 function calls (24687411 primitive calls) in 23.305 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   140934    0.058    0.000    0.058    0.000 {built-in method builtins.abs}
   228791    0.057    0.000    0.080    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\namedarray\utils.py:106(is_dict_like)
    17593    0.056    0.000    0.487    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\mappers.py:131(map_link_tail_node_to_link)
   228768    0.056    0.000    0.080    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\utils.py:700(hashable)
    70373    0.055    0.000    0.118    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\contextlib.py:141(__exit__)
    35206    0.054    0.000    0.472    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexing.py:1176(__getitem__)
    70378    0.054    0.000    0.285    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
   528972    0.052    0.000    0.052    0.000 {method 'items' of 'dict' objects}
    52780    0.051    0.000    0.109    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\graph.py:510(number_of_links)
   140746    0.051    0.000    0.092    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_ufunc_config.py:452(_no_nep50_warning)
    52776    0.051    0.000    0.118    0.000 {method 'any' of 'numpy.generic' objects}
    70378    0.051    0.000    0.219    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
   175934    0.050    0.000    0.201    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_methods.py:61(_all)
   387102    0.048    0.000    0.048    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    35265    0.047    0.000    0.050    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexes\base.py:5323(__contains__)
    70487    0.047    0.000    0.066    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexing.py:2765(check_dict_or_set_indexers)
       65    0.046    0.001    0.059    0.001 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\dtypes\cast.py:1157(maybe_infer_to_datetimelike)
   140756    0.046    0.000    0.046    0.000 {built-in method numpy.seterrobj}
    87988    0.043    0.000    0.065    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimes.py:576(tz)
   140763    0.042    0.000    0.134    0.000 {built-in method builtins.next}
   369891    0.040    0.000    0.040    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\namedarray\core.py:496(dims)
    35184    0.039    0.000    0.050    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\getlimits.py:484(__new__)
    70392    0.039    0.000    0.051    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\dataset.py:803(sizes)
334622/334618    0.039    0.000    0.039    0.000 {built-in method numpy.asarray}
   429466    0.038    0.000    0.038    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\multiarray.py:346(where)
